103.4.128.23	mail100.techcombank.com.vn
103.4.128.24	mail101.techcombank.com.vn
103.4.128.25	mail102.techcombank.com.vn
103.4.128.26	mail103.techcombank.com.vn
103.4.128.38	fastvpn.techcombank.com.vn
103.4.128.87	vpntest.techcombank.com.vn
103.4.128.88	vpntest.techcombank.com.vn
103.4.128.89	mail.techcombank.com.vn
103.4.128.90	mail2.techcombank.com.vn
103.4.128.107	acs.techcombank.com.vn
103.4.128.113	ras0.techcombank.com.vn
103.4.128.152	sftp-corp.techcombank.com.vn
103.4.128.175	exchange.techcombank.com.vn
103.4.128.181	wfm.techcombank.com.vn
103.4.128.182	mpilot.techcombank.com.vn
103.4.128.199	vayvon.techcombank.com.vn
103.4.128.207	khaithacbds.techcombank.com.vn
103.4.128.210	connect.techcombank.com.vn
103.4.128.222	dynatracesso.techcombank.com.vn
103.4.128.223	rewards.techcombank.com.vn.techcombank.com.vn
103.4.128.224	public-apigw.techcombank.com.vn
103.4.128.227	public-apiproxy.techcombank.com.vn
103.4.128.229	gstpos.techcombank.com.vn.techcombank.com.vn
103.4.128.230	ds-portal.techcombank.com.vn
103.4.128.231	mob.techcombank.com.vn
103.4.128.232	obs.techcombank.com.vn
103.4.128.238	omni-corp.techcombank.com.vn
103.4.128.239	onlinebanking.techcombank.com.vn
103.4.130.12	mail1.techcombank.com.vn
103.4.130.23	mail104.techcombank.com.vn
103.4.130.24	mail105.techcombank.com.vn
103.4.130.25	mail106.techcombank.com.vn
103.4.130.26	mail107.techcombank.com.vn
103.4.130.38	fastvpn.techcombank.com.vn
103.4.130.88	vpnvip.techcombank.com.vn
103.4.130.89	mail3.techcombank.com.vn
103.4.130.92	ras1.techcombank.com.vn
103.4.130.167	vpnbcp.techcombank.com.vn
103.4.130.216	sso-test-dynatrace.techcombank.com.vn
103.4.130.223	rewards.techcombank.com.vn
103.4.130.224	public-apigw.techcombank.com.vn
103.4.130.227	public-apiproxy.techcombank.com.vn
103.4.130.231	mob.techcombank.com.vn
103.4.130.232	obs.techcombank.com.vn
