103.10.212.11	mail3.vib.com.vn
103.10.214.5	survey.vib.com.vn
103.10.214.7	vaychinhdang.vib.com.vn
103.10.214.9	m.vib.com.vn
103.10.214.11	mail1.vib.com.vn
103.10.214.12	mail2.vib.com.vn
103.10.214.15	data-room.vib.com.vn
103.10.214.16	livesupport.vib.com.vn
103.10.214.29	ao.vib.com.vn
103.10.214.32	emm.vib.com.vn
103.10.214.33	sentry.vib.com.vn
103.10.214.35	pegasus.vib.com.vn
103.10.214.36	bpmapi.vib.com.vn
103.10.214.37	erplink.vib.com.vn
103.10.214.38	amc.vib.com.vn
103.10.214.46	apim.vib.com.vn
103.10.214.49	3dsvds.vib.com.vn
103.10.214.55	access1.vib.com.vn
103.10.214.57	av1.vib.com.vn
103.10.214.58	access1.vib.com.vn
103.10.214.60	av1.vib.com.vn
103.10.214.61	s4bweb02.vib.com.vn
103.10.214.64	merchant.vib.com.vn.vib.com.vn
103.10.214.68	vcapi2.vib.com.vn
103.10.214.77	apigw2.vib.com.vn
