203.77.178.9	sqmail-02.dongabank.com.vn
203.77.178.15	mail.dongabank.com.vn
203.77.178.25	www.dongagoldtrading.com.vn
203.77.178.26	ebanking.eab.com.vn
203.77.178.27	webservice.eab.com.vn
203.77.178.28	sandbox.dongabank.com.vn
203.77.178.53	payment.vnbc.com.vn
203.77.178.54	ssl.dongabank.com.vn
203.77.178.55	payment-sandbox.vnbc.com.vn
203.77.178.56	qmail.dongabank.com.vn
203.77.178.62	pop.dongabank.com.vn
203.77.178.67	itracking.dongabank.com.vn
203.77.178.69	webservice-etax.dongabank.com.vn
203.77.178.71	ezmapssl.dongabank.com.vn
203.77.178.72	kh-api.dongamoneytransfer.com.vn
203.77.178.73	ebanking-khcn.dongabank.com.vn
203.77.178.74	api.dongabank.com.vn
203.77.178.76	emoney-in.dongamoneytransfer.com.vn
203.77.178.77	jira.dtsc.com.vn
203.77.178.78	vpn.dongabank.com.vn
203.77.178.79	tracking.dongamoneytransfer.com.vn
203.77.178.84	dongamoneytransfer.com.vn
203.77.178.85	dongabank.com.vn
203.77.178.86	kinhdoanh.dongabank.com.vn
203.77.178.89	openapi-uat.dongabank.com.vn
203.77.178.90	wsuat.dongabank.com.vn
203.77.178.92	apilive.dongamoneytransfer.com.vn
203.77.178.247	ippbx.dtsc.com.vn
203.77.178.248	mail1.a4b.vn
203.77.178.249	zcs1.dtsc.com.vn
