203.189.28.10	ipay.vietinbank.vn
203.189.28.24	www.vietinbank.vn
203.189.28.25	ebanking.vietinbank.vn
203.189.28.29	adfs.vietinbank.vn
203.189.28.32	ipaylaos.vietinbank.vn
203.189.28.33	sso.vietinbank.vn
203.189.28.34	softotp1.vietinbank.vn
203.189.28.35	webekyc.vietinbank.vn
203.189.28.36	emmds.vietinbank.vn
203.189.28.37	emmseg.vietinbank.vn
203.189.28.38	emmcg.vietinbank.vn
203.189.28.39	emmtg.vietinbank.vn
203.189.28.52	api-uat.vietinbank.com.la.vietinbank.com.la
203.189.28.61	mail1.vietinbank.vn
203.189.28.62	mail2.vietinbank.vn
203.189.28.65	smtp.vietinbank.vn
203.189.28.66	smtp.vietinbank.com
203.189.28.73	vdi-ext.vietinbank.vn
203.189.28.74	vdi-mobi.vietinbank.vn
203.189.28.84	salesdiarysme.vietinbank.vn
203.189.28.86	custody.vietinbank.vn
203.189.28.87	vietinbank.com.la
203.189.28.89	vaynhanh.vietinbank.vn
203.189.28.95	rmavpn.vietinbank.vn
203.189.28.96	cartracking.vietinbank.vn
203.189.28.100	vcse.vietinbank.vn
203.189.28.104	vcse02.vietinbank.vn
203.189.28.120	sandbox.vietinbank.vn
203.189.28.123	efastmb.vietinbank.vn
203.189.28.125	vpg.vietinbank.vn
203.189.28.126	smtp2.vietinbank.vn
203.189.28.127	acsmaster-test.vietinbank.vn
203.189.28.128	3dsecure.vietinbank.vn
203.189.28.129	jcbqr-test.vietinbank.vn
203.189.28.133	sdk3dsvisav2.vietinbank.vn
203.189.28.134	acsmasterv2.vietinbank.vn
203.189.28.135	acsjcb-test.vietinbank.vn
203.189.28.139	webdemo2.vietinbank.vn
203.189.28.141	uagtest.vietinbank.vn
203.189.28.144	laoefast.vietinbank.com.la
203.189.28.145	contact.vietinbank.vn
203.189.28.146	r2s-mobile.vietinbank.vn
203.189.28.169	lsrp.vietinbank.vn
203.189.28.170	bioupload.vietinbank.vn
203.189.28.223	sftp.vietinbank.vn
203.189.28.226	mail22.vietinbank.vn
203.189.28.251	certtest.vietinbank.vn
203.189.29.16	dns2.vietinbank.vn
203.189.29.24	www.vietinbank.vn.29.189.203.in-addr.arpa
203.189.29.62	smtn.vietinbank.com
203.189.29.65	smtp.vietinbank.com
203.189.29.66	smtp.vietinbank.vn
203.189.29.101	autodiscover.mig.vietinbank.vn
203.189.29.121	efast.vietinbank.vn
203.189.29.122	uag.vietinbank.vn
203.189.29.123	efastpt.vietinbank.vn
203.189.29.126	smtp3.vietinbank.vn
203.189.29.129	softotptest.vietinbank.vn
203.189.29.136	chatmiddleware.vietinbank.vn
203.189.29.137	smartscan.vietinbank.vn
203.189.29.138	3dsmethod.vietinbank.vn
203.189.29.143	sftp.uat.vietinbank.vn
203.189.29.166	gateway.vietinbank.vn
203.189.29.167	einvoice.vietinbank.vn
203.189.29.225	ebanking.vietinbank.vn
203.189.30.22	sslvpn.vietinbank.vn
203.189.30.61	ravpn.vietinbank.vn
203.189.31.24	einvoicetest.vietinbank.vn
203.189.31.133	webdemotest1.vietinbank.vn
