103.221.86.1	1.86.221.103.static.lienvietbank.net
103.221.86.2	2.86.221.103.static.lienvietbank.net
103.221.86.77	mx03.lpbank.com.vn
103.221.86.78	mx09.lpbank.com.vn
103.221.86.84	mx02.lpbank.com.vn
103.221.86.92	dns5.lienvietbank.net
103.221.86.93	dns6.lienvietbank.net
103.221.86.98	mx10.lpbank.com.vn
103.221.86.118	dns3.lienvietbank.net
103.221.86.119	dns4.lienvietbank.net
103.221.86.151	mx.bdlv.com.vn
103.221.86.153	mx01.bdlv.com.vn
103.221.86.177	mx06.lpbank.com.vn
103.221.86.178	mx07.lienvietpostbank.com.vn
202.9.80.1	1.80.9.202.static.lienvietbank.net
202.9.80.2	2.80.9.202.static.lienvietbank.net
202.9.80.34	ns1.lienvietbank.net
202.9.80.35	dns2.lienvietbank.net
202.9.80.38	smtp02.lienvietpostbank.com.vn
202.9.80.43	smtp06.lienvietpostbank.com.vn
202.9.80.51	www2.lienvietpostbank.com.vn
202.9.80.53	viviet.lienvietbank.net
202.9.80.54	ebanking.lienvietpostbank.com.vn
202.9.80.55	www1.lienvietpostbank.com.vn
202.9.80.82	mx04.lpbank.com.vn
202.9.80.83	mx05.lpbank.com.vn
