202.59.252.5	trungtamdieuxehcm.acb.com.vn
202.59.252.11	apm.acb.com.vn
202.59.252.12	news.acbonline.com.vn
202.59.252.13	acb.com.vn
202.59.252.19	mail.acbnews.com.vn
202.59.252.32	innolab.acb.vn
202.59.252.35	salescrm.acb.com.vn
202.59.252.54	sip.acb.com.vn
202.59.252.57	gprspos.acb.com.vn
202.59.252.58	sip.acb.com.vn
202.59.252.59	task.acb.vn
202.59.252.61	safekey.acb.com.vn
202.59.252.62	checkin.acb.com.vn
202.59.252.63	id.acb.com.vn
202.59.252.66	esecure.acb.com.vn
202.59.252.72	mobinewuat.acb.com.vn
202.59.252.79	safekeyuat.acb.com.vn
202.59.252.80	sales-portal.acb.com.vn
202.59.252.89	cmsevent.acb.com.vn
202.59.252.95	api.acb.com.vn
202.59.252.99	wifi.acb.com.vn
202.59.252.100	mobileuat.acb.com.vn
202.59.252.111	cdn-op.acb.com.vn
202.59.252.113	smtpedge.acb.com.vn
202.59.252.115	qltsapi.acb.com.vn
202.59.252.116	mba.acb.com.vn
202.59.252.121	sts.acb.com.vn
202.59.252.127	ekyc-stg.acb.com.vn
202.59.252.129	ekyc-gw-stg.acb.com.vn
202.59.252.131	turn01.acb.com.vn
202.59.252.132	turn02.acb.com.vn
202.59.252.141	vdi.acb.com.vn
202.59.252.153	forex-trading.acb.com.vn
202.59.252.157	mx5.acb.com.vn
202.59.252.159	doitacsunghiep.acb.com.vn
202.59.252.167	eshare.acb.com.vn
202.59.252.168	developer.acb.com.vn
202.59.252.169	sandbox.acb.com.vn
202.59.252.172	pheduyettindung.acb.com.vn
202.59.252.177	eap-tb-pat.acb.com.vn
202.59.252.192	online.acb.com.vn
202.59.252.194	business.acb.com.vn
202.59.252.204	endpoint.acb.vn
202.59.252.208	bba-sit.acb.com.vn
202.59.252.210	bba-uat.acb.com.vn
202.59.252.213	crl.acb.com.vn
202.59.252.226	sslvpn.acb.com.vn
202.59.253.113	mx.acb.com.vn
