202.74.56.20	mailgw07.vpb.com.vn
202.74.56.21	mailgw09.vpb.com.vn
202.74.56.22	mailgw08.vpb.com.vn
202.74.56.23	mailgw06.care.vpb.com.vn
202.74.56.24	mailgw07.care.vpb.com.vn
202.74.56.35	mail.vpb.com.vn
202.74.56.44	mailgate.vpb.com.vn
202.74.56.45	webmail.vpb.com.vn
202.74.56.46	mailgw-otp05.vpb.com.vn
202.74.56.47	mailgw-otp06.vpb.com.vn
202.74.56.48	mailgw-otp07.vpb.com.vn
202.74.56.53	mailgw03.einvoice.vpbank.com.vn
202.74.56.54	mail.einvoice.vpbank.com.vn
202.74.56.75	mailgw10.care.vpb.com.vn
202.74.56.76	mailgw11.care.vpb.com.vn
202.74.56.82	mail.care.vpb.com.vn
202.74.56.84	mail2.care.vpb.com.vn
202.74.56.85	mail1.care.vpb.com.vn
202.74.56.88	mail3.care.vpb.com.vn
202.74.56.124	mailgw08.care.vpb.com.vn
202.74.56.125	mailgw09.care.vpb.com.vn
202.74.56.127	mailgw05.vpbank.com.vn
202.74.56.128	ps2mailgwx02.vpb.com.vn
202.74.56.129	ps2mailgwx03.vpb.com.vn
202.74.56.137	mailgw06.vpbank.com.vn
202.74.56.200	ps1mailgwx01.vpb.com.vn
202.74.56.223	ps1mailgwx04.vpbank.com.vn
