103.61.48.16	dns1.scb.com.vn
103.61.48.17	mail.notify.scb.com.vn
103.61.48.26	mms.scb.com.vn
103.61.48.29	uatmbanking.scb.com.vn
103.61.48.44	vipcode.scb.com.vn
103.61.48.47	mail.pocgw.scb.com.vn
103.61.48.78	mail.scb.com.vn
103.61.48.85	dmsuat.scb.com.vn
103.61.49.2	vpncq.scb.com.vn
103.61.49.39	mail1.scb.com.vn
103.61.49.40	mail5.scb.com.vn
103.61.49.41	mail6.scb.com.vn
103.61.50.5	ai.scb.com.vn
103.61.50.16	dns2.scb.com.vn
103.61.50.18	evnhn.scb.com.vn
103.61.50.19	mail4.scb.com.vn
103.61.51.39	mail3.scb.com.vn
103.61.51.40	mail7.scb.com.vn
103.61.51.41	mail8.scb.com.vn
