ASN,Name,Country,Number of IPs,Type
AS45899,VNPT Corp,vn,7687424,isp
AS7552,Viettel Group,vn,5449728,isp
AS18403,FPT Telecom Company,vn,1420544,isp
AS24086,Viettel Corporation,vn,484608,isp
AS45543,SaiGon Tourist cable Televition Company,vn,196608,isp
AS135905,VIETNAM POSTS AND TELECOMMUNICATIONS GROUP,vn,139264,isp
AS7602,Sai gon Postel Corporation,vn,124928,isp
AS45903,CMC Telecom Infrastructure Company,vn,86784,isp
AS24173,Netnam Company,vn,64512,isp
AS131429,MOBIFONE Corporation,vn,52480,isp
AS38244,VNG Corporation,vn,36864,hosting
AS24085,Quang Trung Software City Development Company,vn,33280,hosting
AS38735,Global Data Service Joint Stock Company,vn,32768,business
AS135918,VIET DIGITAL TECHNOLOGY LIABILITY COMPANY,vn,25600,hosting
AS38731,Vietel - CHT Compamy Ltd,vn,22528,hosting
AS38726,VTC DIGICOM,vn,20480,isp
AS7643,Vietnam Posts and Telecommunications (VNPT),vn,20224,isp
AS63737,VIETSERVER SERVICES TECHNOLOGY COMPANY LIMITED,vn,19456,isp
AS131392,GMO-Z.com Runsystem Joint Stock Company,vn,19456,hosting
AS150698,VCORE,vn,19200,isp
AS24088,Hanoi Telecom Joint Stock Company - HCMC Branch,vn,18944,isp
AS24176,Branch of Netnam Company in Ho Chi Minh City,vn,18432,isp
AS45538,ODS Joint Stock Company,vn,15104,hosting
AS140815,HTTVSERVER TECHNOLOGY COMPANY LIMITED,vn,14848,isp
AS45544,SUPERDATA-VN,vn,14336,hosting
AS38248,VTC-VN,vn,14336,business
AS140766,FPT Telecom Company,vn,12800,isp
AS135967,Bach Kim Network solutions Join stock company,vn,11520,hosting
AS38247,Vietnamobile Telecommunications Joint Stock Company,vn,9984,isp
AS140822,ANPHATIDC,vn,9728,isp
AS38732,CMC Telecom Infrastructure Company,vn,9472,isp
AS135944,VinhNam Commercial informatics service corporation,vn,9216,hosting
AS45896,Mobifone Global JSC,vn,8704,isp
AS140810,Megacore Technology Company Limited,vn,8704,hosting
AS135951,Webico Company Limited,vn,8704,hosting
AS38733,CMC Telecom Infrastructure Company,vn,8448,isp
AS55322,North Power Company,vn,8192,business
AS131353,NhanHoa Software company,vn,8192,hosting
AS45894,FPT Online JSC,vn,7680,isp
AS55313,Hanel Communication JSC,vn,7168,hosting
AS45557,Vietnam Technology and Telecommunication JSC,vn,7168,isp
AS131386,Long Van System Solution JSC,vn,7168,hosting
AS135983,Tino Group Joint Stock Company,vn,6912,hosting
AS140825,Thien Quang Digital technology joint stock company,vn,6144,hosting
AS56150,Viet Solutions Services Trading Company Limited,vn,5632,hosting
AS63760,AZDIGI Corporation,vn,5120,hosting
AS140807,Nguyen Ngoc Thanh Trading Limited Company,vn,5120,isp
AS131423,Branch of Long Van System Solution JSC - Hanoi,vn,5120,hosting
AS135987,Reload Company Limited,vn,4608,hosting
AS131428,Rainbow E-Commerce Company Limited,vn,4608,hosting
AS131127,Global Telecom Corp,vn,4352,isp
AS63747,Central Post and Telecommunication (CPT),vn,4096,government
AS55309,Minh Tu Telecom Limited Company,vn,4096,isp
AS45542,VietNam National University Ha Noi,vn,4096,education
AS24175,National Agency for Scientific and Technological Information,vn,4096,government
AS140803,HQDATA,vn,4096,isp
